PROCEDURE,Billing Description,UNIT CHARGE
272000983,CATH-SUREVIEW TRANSFER 23 CM - FACILITY,108.5
272000984,SUPPLIES&MATERIALS ABOVE/BEYOND PROV BY PHYS/QHP - FACILITY,297
272000985,SINGLE LUMEN 16 ASPIR NEEDLE - FACILITY,130
272000986,RFA KITS - FACILITY,3575
272000987,SPACEOAR SUPPLIES - FACILITY,3828.48
272000990,BIOCUE KIT - FACILITY,4200
272000991,KT EMCYTE BMAC - FACILITY,4200
272000992,MISC DIALYSIS SUPPLIES NOC - FACILITY,5200
272000993,KIT PROCEDURE MILD - FACILITY,150
272000994,CATHETER ACCESS PORT - FACILITY,10000
272000996,"CATH, INF, PER/CENT/MIDLINE - FACILITY",286
272000997,"CATH, INF, PER/CENT/MIDLINE - FACILITY",200
274000014,NON-PNEUM WALK BOOT PRE CST - FACILITY,189.62
274000015,PNEUMAT WALKING BOOT PRE CST - FACILITY,79.78
274000026,AFO MULTILIG ANK SUP PRE OTS - FACILITY,96
274000030,KO ADJ JNT POS R SUP PRE CST - FACILITY,121.04
274000037,UPPER EXT FX ORTHOSIS RAD/UL - FACILITY,443
274000039,UPPER EXT FX ORTHOSIS WRIST - FACILITY,131.82
274000041,BRACING DLX POST OP KNEE COOL - FACILITY,397.92
274000049,CERV FLEX N/ADJ FOAM PRE OTS - FACILITY,38.92
274000051,CERV COL SR FOAM 2PC PRE OTS - FACILITY,109.8
274000054,COLLAR MIAMI PAD STOUT - FACILITY,244.8
274000061,FOOT ARCH SUPP LONGITUD/META - FACILITY,98
274000064,KO IMMOB CANVAS LONG PRE OTS - FACILITY,130.52
274000066,SO 8 AB RSTR CAN/WEB PRE OTS - FACILITY,29
274000079,EWHO RIGID W/O JNTS CF - FACILITY,1043.4
274000083,EO ADJ JT PREFAB CUSTOM FIT - FACILITY,433.58
274000084,EO W/O JOINTS CF - FACILITY,402.61
274000085,EWHO W/JOINT(S) CF - FACILITY,1091.95
274000086,WHFO W/JOINT(S) CUSTOM FAB - FACILITY,633.3
274000087,SO ACRO/CLAV CAN WEB PRE OTS - FACILITY,109.64
274000090,WHO W/O JOINTS CF - FACILITY,588.83
274000092,"WHFO, RIGID W/O JOINTS - FACILITY",496.63
274000095,WHFO W/O JOINTS PRE CST - FACILITY,24
274000096,WHO COCK-UP NONMOLDE PRE OTS - FACILITY,102.23
274000097,ANKLE CONTROL ORTHO PRE OTS - FACILITY,41.86
274000098,STATIC OR DYNAMI AFO PRE CST - FACILITY,58.6
274000100,FO PIP DIP JNT/SPRNG PRE OTS - FACILITY,76.32
274000101,FO W/O JOINTS CF - FACILITY,297.49
274000102,HFO W/JOINT(S) CF - FACILITY,447.84
274000104,HFO W/O JOINTS CF - FACILITY,377.61
274000105,HO FLEX FREJKA W/COV PRE CST - FACILITY,132
274000106,HFO NONTORSION JNTS PRE CST - FACILITY,278.05
274000111,ORTHOSIS LWR EXTREMITY NOS - FACILITY,588.83
274000117,AMBULATORY SURGICAL BOOT EAC - FACILITY,23.3
274000119,"REPLACE STRAP, ANY ORTHOSIS - FACILITY",130
274000120,ORTH DEV REPAIR/REPL MINOR P - FACILITY,33
274000128,SLINGS - FACILITY,27
274000135,FOOT DROP SPLINT PRE OTS - FACILITY,262.14
274000139,HFO WITHOUT JOINTS PRE CST - FACILITY,134.67
274000149,SLINGS - FACILITY,82.68
274000155,CERV FLEX N/ADJ FOAM PRE OTS - FACILITY,81.6
274000161,KO ADJ JNT POS R SUP PRE CST - FACILITY,397.92
274000229,KO IMMOB CANVAS LONG PRE OTS - FACILITY,23.54
274000272,FO NONTORSION JOINT CF - FACILITY,385.04
274000273,EWHFO RIGID W/O JNTS CF - FACILITY,1787.78
274000274,SEWHO AIRPLANE W/O JNTS CF - FACILITY,2765.68
274000275,SO AIRPLANE W/WO JOINT CF - FACILITY,1657.04
274000279,WHFO W/O JOINTS PRE OTS - FACILITY,178.84
274000289,PATIENT LIFT SLING OR SEAT - FACILITY,588.76
274000297,SO CAP DESIGN W/O JNTS CF - FACILITY,1256.28
274000298,HFO FLEXION GLOVE PRE OTS - FACILITY,146.89
274000300,FO PIP DIP NO JT SPR PRE OTS - FACILITY,48.82
274000338,LOWER EXTREMITY ORTHOSIS NOS - FACILITY,1043.4
274000339,LOWER EXTREMITY ORTHOSIS NOS - FACILITY,1350.22
274000340,LOWER EXTREMITY ORTHOSIS NOS - FACILITY,1043.4
274000341,LOWER EXTREMITY ORTHOSIS NOS - FACILITY,447.84
274000342,LOWER EXTREMITY ORTHOSIS NOS - FACILITY,588.83
278000169,IMPLANTABLE TISSUE MARKER - FACILITY,26
278000201,BRACHYTHERAPY RADIOELEMENTS - FACILITY,63.7
300000002,5-HTT GENE ANALYSIS - FACILITY,300.34
300000003,MOLECULAR PATHOLOGY PROCEDURE LEVEL 1 - FACILITY,490.67
300000004,ABL1 GENE ANALYSIS KINASE DOMAIN VARIANTS - FACILITY,682.73
300000005,ACADS KNOWN MUTATION - FACILITY,810.14
300000006,ACADS MUTATION SCREEN - FACILITY,1384.91
300000007,ACADV FULL GENE ANALYSIS - FACILITY,1091.07
300000008,ACADV KNOWN MUTATION - FACILITY,390.21
300000010,ACVRL1 KNOWN MUTATION - FACILITY,285.82
300000011,AGXT FULL GENE ANALYSIS - FACILITY,1854.26
300000012,AGXT KNOWN MUTATION - FACILITY,903.42
300000015,AMYL KNOWN MUTATION - FACILITY,390.21
300000016,"SEMEN ANALYSIS, STRICT MORPHOLOGIC CRITERIA - FACILITY",301.04
300000017,APC GENE ANALYSIS FULL GENE SEQUENCE - FACILITY,1780.38
300000019,APOA1 FULL GENE ANALYSIS - FACILITY,1271.43
300000020,APOB APOLIPOPROTEIN E GENOTYPE - FACILITY,359.67
300000021,APOB GENOTYPE - FACILITY,402.09
300000023,AR SPINOBULBAR MUSC ATROPHY - FACILITY,468.25
300000024,ARPKD KNOWN MUTATION - FACILITY,627.11
300000025,ARPKD MUTATION SCREEN - FACILITY,3454.61
300000026,ARSA FULL GENE ANALYSIS - FACILITY,1022.78
300000027,ARSA GENE KNOWN MUTATION - FACILITY,677.39
300000028,WITHDRAWAL OF ARTERIAL BLOOD - FACILITY,193.74
300000029,ASPA GENE ANALYSIS COMMON VARIANTS - FACILITY,747.17
300000031,ATN1 DRPLA GENE ANALYSIS - FACILITY,296.92
300000032,ATP7B FULL GENE ANALYSIS - FACILITY,1846.14
300000033,ATP7B KNOWN MUTATION - FACILITY,689.37
300000035,INJECT PLATELET RICH PLASMA W/IMG HARVEST/PREPARATOIN - FACILITY,1113.82
300000036,BCR/ABL1 MAJOR BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,583.43
300000037,BCR/ABL1 MINOR BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,527.78
300000038,BCR/ABL1 OTHER BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,500.24
300000042,BLM GENE ANALYSIS 2281DEL6INS7 VARIANT - FACILITY,954.23
300000043,TRNSPLJ ALLOGENEIC HEMATOPOIETIC CELLS PER DONOR - FACILITY,5303.76
300000044,TRNSPLJ AUTOLOGOUS HEMATOPOIETIC CELLS PER DONOR - FACILITY,5303.76
300000045,DIAGNOSTIC BONE MARROW ASPIRATIONS - FACILITY,3104.54
300000047,BRAF GENE ANALYSIS V600 VARIANT(S) - FACILITY,346.5
300000048,BRAF GENE ANALYSIS V600 VARIANT(S) - FACILITY,498
300000049,BTD FULL GENE ANALYSIS - FACILITY,976.32
300000050,BTD GENE KNOWN MUTATION - FACILITY,668.79
300000051,BTK FULL GENE SEQUENCE - FACILITY,2126.62
300000052,BTK GENE KNOWN MUT - FACILITY,549.41
300000053,BWS/RSS MOLECULAR ANALYSIS - FACILITY,304.36
300000055,C9ORF72 MOLECULAR ANALYSIS - FACILITY,504.66
300000056,CALR GENE ANALYSIS COMMON VARIANTS IN EXON 9 - FACILITY,469.74
300000058,CASR KNOWN MUTATION - FACILITY,647
300000059,CASR MUTATION SCREEN - FACILITY,1564.06
300000060,CATHETERIZE FOR URINE SPEC - FACILITY,187.41
300000061,CDH1 FULL GENE ANALYSIS - FACILITY,936.49
300000062,CDH1 GENE KNOWN MUTATION - FACILITY,390.21
300000063,CDKN1C FULL GENE ANALYSIS - FACILITY,847.01
300000064,CDKN1C KNOWN MUTATION - FACILITY,669.15
300000065,CEBPA GENE ANALYSIS FULL GENE SEQUENCE - FACILITY,399.8
300000071,CFTR GENE ANALYSIS COMMON VARIANTS - FACILITY,169.09
300000072,CFTR GENE ANALYSIS DUPLICATION/DELETION VARIANTS - FACILITY,930.06
300000073,CFTR GENE ANALYSIS FULL GENE SEQUENCE - FACILITY,930.06
300000074,CFTR GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,390.21
300000075,CHEK2 GENE FULL ANALYSIS - FACILITY,1741.94
300000076,CHEK2 KNOWN MUTATION - FACILITY,816.5
300000077,CHIMERISM W/COMP TO BASELINE W/O CELL SELECTION - FACILITY,558.8
300000078,CHIMERISM W/COMP TO BASELINE W/CELL SELECTION EA - FACILITY,598.61
300000079,CHROMOSOMAL MICROARRAY TUMOR - FACILITY,1671.95
300000080,COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE - FACILITY,182.65
300000082,COLLECTION CAPILLARY BLOOD SPECIMEN - FACILITY,28.49
300000083,COMPARATIVE ANAL STR MARKERS PATIENT&COMP SPEC - FACILITY,960.34
300000084,COMPARATIVE ANAL STR MARKERS PATIENT&COMP SPEC - FACILITY,457.84
300000085,COMT GENOTYPE - FACILITY,582.71
300000086,CPT2 FULL GENE ANALYSIS - FACILITY,1616.73
300000087,CPT2 GENE KNOWN MUTATION - FACILITY,668.58
300000090,"CRYOPRESERVATION, SPERM - FACILITY",234.79
300000092,CTNNB1 BETA CATENIN MUT ANLY - FACILITY,1001.52
300000093,CTRC FULL GENE ANALYSIS - FACILITY,300.63
300000095,CYP1A2 GENOTYPE SALIVA - FACILITY,759.56
300000096,CYP1A2 GENOTYPE - FACILITY,270.95
300000098,CYP2C19 GENE ANALYSIS COMMON VARIANTS - FACILITY,685.39
300000099,CYP2C9 GENE ANALYSIS COMMON VARIANTS - FACILITY,545.56
300000100,CYP2C9 GENE ANALYSIS COMMON VARIANTS - FACILITY,547.17
300000101,CYP2D6 COPY NUMBER VARIATION - FACILITY,311.63
300000103,CYP2D6 GENE ANALYSIS COMMON VARIANTS - FACILITY,584.33
300000104,CYP2D6-2D7 GENE SEQUENCING - FACILITY,770.06
300000105,CYP3A4 GENOTYPE - FACILITY,383
300000106,CYP3A5 GENOTYPE - FACILITY,417.27
300000108,DAZ/SRY DELETION - FACILITY,370.43
300000109,DMD DUPLICATION/DELETION ANALYSIS - FACILITY,702.37
300000110,DRD3 GENOTYPE - FACILITY,441.51
300000111,DRD4 GENOTYPE SALIVA - FACILITY,295.34
300000112,DRD4 GENOTYPE - FACILITY,398.81
300000114,EGFR GENE ANALYSIS COMMON VARIANTS - FACILITY,1027.54
300000116,EWSR1/ATF1 GENE - FACILITY,660.37
300000117,EXOME COMPARATOR - FACILITY,1407.86
300000118,EXOME - FACILITY,7330.65
300000120,F2 GENE ANALYSIS 20210G >A VARIANT - FACILITY,354.1
300000121,F5 COAGULATION FACTOR V ANAL LEIDEN VARIANT - FACILITY,321.12
300000122,F8 INVERSION ANALYSIS 2 - FACILITY,163.56
300000123,F8 INVERSION ANALYSIS - FACILITY,323.15
300000125,F9 KNOWN MUTATION - FACILITY,506.63
300000126,FANCC GENE ANALYSIS COMMON VARIANT - FACILITY,244.89
300000127,FBN1 FULL GENE SEQUENCE - FACILITY,1396.64
300000130,FECH FULL GENE ANALYSIS - FACILITY,1044.66
300000131,FERN TEST - FACILITY,47.5
300000132,FETAL CHRMOML ANEUPLOIDY - FACILITY,1236.84
300000134,FGA FULL GENE ANALYSIS - FACILITY,1509.89
300000135,FGA KNOWN MUTATION - FACILITY,672.57
300000136,FETAL CONGENITAL ABNOR ASSAY TWO PROTEINS - FACILITY,266.8
300000137,FLCN FULL GENE ANALYSIS - FACILITY,1066.56
300000138,FLG GENE MUTATION ANALYSIS - FACILITY,546.28
300000139,FLT3 GENE ANLYS TYROSINE KINASE DOMAIN VARIANTS - FACILITY,215.18
300000140,FLT3 GENE ANALYSIS INTERNAL TANDEM DUP VARIANTS - FACILITY,424.91
300000141,FMR1 GENE ANALYSIS CHARACTERIZATION OF ALLELES - FACILITY,223.72
300000142,FMR1 ANALYSIS EVAL TO DETECT ABNORMAL ALLELES - FACILITY,312.16
300000143,FOXL2 MUT (C402G) ANALYSIS - FACILITY,333.59
300000144,FTCD FULL GENE ANALYSIS - FACILITY,2130.41
300000145,GAA FULL GENE SEQUENCE - FACILITY,1566.54
300000146,GAA KNOWN MUTATION - FACILITY,598.76
300000147,GALC FULL GENE ANALYSIS - FACILITY,1737.91
300000148,GALC KNOWN MUTATION - FACILITY,162.04
300000149,GALT FULL GENE ANALYSIS - FACILITY,990.19
300000150,GALT GENE ANALYSIS - FACILITY,522.35
300000151,GAUCHER DISEASE FULL GENE ANA - FACILITY,1553.44
300000152,GAUCHER DISEASE KNOWN MUTATION - FACILITY,696.86
300000153,GBA GLUCOSIDASE/BETA/ACID ANAL COMM VARIANTS - FACILITY,711.89
300000154,GENOMIC SEQ ANALYS 5-50 GEN - FACILITY,1648.74
300000158,GLA FULL GENE ANALYSIS - FACILITY,979.83
300000159,GLA KNOWN MUTATION - FACILITY,549.48
300000160,GNA11 MUTATION ANALYSIS - FACILITY,286.11
300000161,GNPTAB FULL GENE ANALYSIS - FACILITY,1721.45
300000162,GRHPR GENE FULL GENE ANALYSIS - FACILITY,903.19
300000163,GRHPR GENE KNOWN MUTATION - FACILITY,167.43
300000164,GRN FULL GENE ANALYSIS - FACILITY,1040.55
300000165,GRN KNOWN MUTATION - FACILITY,390.21
300000166,GSN FULL GENE ANALYSIS - FACILITY,1477.32
300000167,GSN KNOWN MUTATION - FACILITY,672.57
300000171,HEREDIATRY ERYTHROCYTOSIS MUT - FACILITY,1332.45
300000172,HEREDITARY COLON CANCER PANEL - FACILITY,1459.15
300000173,HEXA FULL GENE ANALYSIS - FACILITY,1859.33
300000174,HEXA GENE KNOWN MUTATION - FACILITY,760.36
300000176,HFE HEMOCHROMATOSIS GENE ANAL COMMON VARIANTS - FACILITY,182.1
300000177,HLA CLASS I TYPING HIGH RESOLUTION COMPLETE - FACILITY,994.47
300000178,HLA CLASS I TYPING LOW RESOLUTION COMPLETE - FACILITY,655.01
300000179,HLA II LOW RESOLUTION HLA-DRB1/3/4/5 AND -DQB1 - FACILITY,654.55
300000180,HLA CLASS II TYPING HIGH RESOLUTION ONE LOCUS EA - FACILITY,366.73
300000181,HLA I&LI LOW RESOLUTION HLA-A -B&-DRB1 - FACILITY,706.57
300000183,HLA CLASS II TYPING HIGH RESOLUTION ONE LOCUS EA - FACILITY,366.73
300000184,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,362.4
300000185,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,362.4
300000186,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,350.54
300000188,HLA CLASS I&II LOW HLA-A -B -C -DRB1/3/4/5&-DQB1 - FACILITY,1156.72
300000189,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,362.4
300000190,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,299.85
300000191,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,314.29
300000192,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,309.65
300000193,HLA CLASS I TYPING LOW RESOLUTION ONE LOCUS EACH - FACILITY,326.93
300000194,HMBS FULL GENE SEQUENCE - FACILITY,1847.88
300000195,HMBS KNOWN MUTATION - FACILITY,675.66
300000196,HOXB13 MUTATION ANALYSIS G84E - FACILITY,699.34
300000199,HTT HUNTINGTON DISEASE ANALY - FACILITY,390.21
300000203,IDUA FULL GENE ANALYSIS - FACILITY,1526.63
300000204,IDUA KNOWN MUTATION - FACILITY,624.77
300000206,IGH@ REARRANGE ABNORMAL CLONAL POP AMPLIFIED - FACILITY,752.89
300000207,IGH@ VARIABLE REGION SOMATIC MUTATION ANALYSIS - FACILITY,698.63
300000208,IGK@ GENE REARRANGE DETECT ABNORMAL CLONAL POP - FACILITY,519.35
300000209,IKBKAP GENE ANALYSIS COMMON VARIANTS - FACILITY,923.41
300000216,JAK2 GENE ANALYSIS P.VAL617PHE VARIANT - FACILITY,337.67
300000220,KIT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS - FACILITY,775
300000221,POTASSIUM HYDROXIDE PREPS - FACILITY,18.99
300000222,KRAS GENE ANALYSIS VARIANTS IN EXON 2 - FACILITY,611.32
300000223,KRAS GENE ANALYSIS VARIANTS IN EXON 2 - FACILITY,611.32
300000224,LDLR FULL GENE SEQUENCE - FACILITY,1674.39
300000226,LDLR LARGE DEL/DUP - FACILITY,923.91
300000228,LYZ FULL GENE ANALYSIS - FACILITY,1154.53
300000229,MAPT KNOWN MUTATION - FACILITY,390.21
300000230,MAPT SCREENING SEQUENCE ANLYS - FACILITY,858.45
300000231,MARFAN & RELTD GENETIC PANEL B - FACILITY,2615.78
300000232,MCAD KNOWN MUTATION - FACILITY,653.89
300000233,MCAD MUTATION SCREEN - FACILITY,1115.34
300000234,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1413.64
300000235,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1393.29
300000236,MECP2 GENE ANALYSIS FULL SEQUENCE - FACILITY,927.42
300000237,MECP2 GENE ANALYSIS KNOWN FAMILIAL VARIANT - FACILITY,390.21
300000239,MEFV GENE FULL ANALYSIS - FACILITY,643.77
300000240,MELANOMA PANEL TUMOR - FACILITY,1248.66
300000243,MESENCHYMAL CHONDROSARCOMA RT-PCR - FACILITY,650.34
300000244,MGMT METHYLATION ANALYSIS - FACILITY,512.47
300000245,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1393.23
300000246,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1671.89
300000247,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1393.24
300000248,MICROSATELLITE INSTAB ANAL MISMATCH REPAIR DEF - FACILITY,614.97
300000250,MLH1 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,1193.38
300000252,MLH1 GENE ANALYSIS PROMOTER METHYLATION ANALYSIS - FACILITY,447.84
300000254,MMACHC FULL GENE ANALYSIS - FACILITY,722.41
300000255,MMACHC GENE KNOWN MUTATION - FACILITY,773.08
300000260,MOPATH PROCEDURE LEVEL 5 - FACILITY,52.84
300000265,MPL EXON 10 MUT DETECTION - FACILITY,561.95
300000266,MPS IIIA FULL GENE ANALYSIS - FACILITY,1047.33
300000267,MPSVL FULL GENE ANALYSIS - FACILITY,1469.27
300000269,MSH2 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,865.73
300000270,MSH2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,390.21
300000271,MSH6 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,865.73
300000273,MTHFR GENE ANALYSIS COMMON VARIANTS - FACILITY,673.64
300000274,MTHFR GENE ANALYSIS COMMON VARIANTS - FACILITY,306.63
300000276,MYD88 L265P GENE MUTATN ANALYS - FACILITY,376.92
300000277,MYH GENE ANALYSIS - FACILITY,174.07
300000279,NAT2 FULL GENE SEQUENCE - FACILITY,707.61
300000282,NPM1 NUCLEOPHOSMIN GENE ANAL EXON 12 VARIANTS - FACILITY,541.27
300000283,NRAS GENE ANALYSIS VARIANTS IN EXON 2&3 - FACILITY,422.75
300000286,OPRM1 GENE ANALYSIS - FACILITY,376.4
300000288,PDGFRA GENE ANALYS TARGETED SEQUENCE ANALYS - FACILITY,471.67
300000289,PML/RARALPHA COMMON BREAKPOINTS QUAL/QUANT - FACILITY,729.05
300000290,PMP22 GENE ANAL DUPLICATION/DELETION ANALYSIS - FACILITY,488.16
300000291,PMP22 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,528.44
300000292,PMS2 GENE ANALYSIS DUPLICATION/DELETION VARIANTS - FACILITY,361.35
300000293,PMS2 GENE ANALYSIS FULL SEQUENCE - FACILITY,2176.35
300000294,PMS2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,401.26
300000299,"PSA, TOTAL SCREENING - FACILITY",133.59
300000300,PROTEIN C FULL GENE ANALYSIS - FACILITY,1351.79
300000301,PRSS1 FULL GENE ANALYSIS - FACILITY,554.09
300000302,PRSS1 GENE KNOWN MUTATION - FACILITY,668.79
300000304,PTEN GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,951
300000305,PTPN11 FULL GENE SEQUENCE - FACILITY,782.57
300000308,FETAL CONGENITAL ABNOR ASSAY FOUR ANAL - FACILITY,411.4
300000313,RET FULL GENE ANALYSIS - FACILITY,1066.56
300000314,SDH DELETION DETECTION - FACILITY,308.31
300000315,SDH KNOWN MUTATION - FACILITY,505.41
300000316,SDH SUBUNIT B GENE ANALYSIS - FACILITY,1201.46
300000317,SDH SUBUNIT D GENE ANALYSIS - FACILITY,704.56
300000320,SEPT9 KNOWN MUTATION - FACILITY,390.21
300000322,SERPINA1 GENE ANALYSIS COMMON VARIANTS - FACILITY,638.75
300000323,SERPINC1 ANTITHROMBIN MUT - FACILITY,836.39
300000324,SLC25A20 FULL GENE ANALYSIS - FACILITY,1626.83
300000325,SLC25A20 GENE KNOWN MUTATION - FACILITY,675.31
300000326,SLCO1B1 GENOTYPE STATIN - FACILITY,394.45
300000327,SMAD4 FULL GENE ANALYSIS - FACILITY,792.53
300000328,SMPD1 FULL GENE ANALYSIS - FACILITY,1609.14
300000329,SMPD1 KNOWN MUT - FACILITY,460
