PROCEDURE,Billing Description,UNIT CHARGE
274000146,TRACHEOSTOMY SPEAKING VALVE - FACILITY,498
274000272,FO NONTORSION JOINT CF - FACILITY,200
274000278,SPLINT - FACILITY,44
274000297,SO CAP DESIGN W/O JNTS CF - FACILITY,777
274000298,HFO FLEXION GLOVE PRE OTS - FACILITY,40
274000300,FO PIP DIP NO JT SPR PRE OTS - FACILITY,31
274000353,"EO, ADJ LOCK JOINT PREFAB OT - FACILITY",377
274000354,CUFFS ADJ LOCK W/ ACTIVE CON - FACILITY,1266
274000355,HFO NONTORSION JNTS PRE OTS - FACILITY,204.46
274000356,WHO W/NONTORSION JNT(S) CF - FACILITY,855
278000225,"LEAD, NEUROSTIM TEST KIT - FACILITY",1000
278000226,"LEAD, NEUROSTIM TEST KIT - FACILITY",500
278000227,TRIAL MEDTRONIC LEAD KIT - FACILITY,700
291000001,CANE ADJUST/FIXED WITH TIP - FACILITY,53
291000008,WALKER FOLDING ADJUST/FIXED - FACILITY,84
291000009,WALKER FOLDING WHEELED W/O S - FACILITY,121
291000010,WALKER FOLDING WHEELED W/O S - FACILITY,121
291000011,"WALKER WHEEL ATTACHMENT,PAIR - FACILITY",32
291000012,GEN W/C CUSHION WDTH < 22 IN - FACILITY,89
292000001,CRUTCH UNDERARM PAIR NO WOOD - FACILITY,46
292000007,WALKER FOLDING ADJUST/FIXED - FACILITY,84
292000011,WALKER FOLDING WHEELED W/O S - FACILITY,121
292000014,CANE ADJUST/FIXED WITH TIP - FACILITY,24
300000000,2D6 SEQUENCING - FACILITY,548
300000002,5-HTT GENE ANALYSIS - FACILITY,338
300000004,ABL1 GENE ANALYSIS KINASE DOMAIN VARIANTS - FACILITY,705
300000005,ACADS KNOWN MUTATION - FACILITY,767
300000006,ACADS MUTATION SCREEN - FACILITY,1638
300000007,ACADV FULL GENE ANALYSIS - FACILITY,1315
300000008,ACADV KNOWN MUTATION - FACILITY,205
300000011,AGXT FULL GENE ANALYSIS - FACILITY,1922
300000012,AGXT KNOWN MUTATION - FACILITY,855
300000015,AMYL KNOWN MUTATION - FACILITY,530
300000019,APOA1 FULL GENE ANALYSIS - FACILITY,1237
300000020,APOB APOLIPOPROTEIN E GENOTYPE - FACILITY,354
300000024,ARPKD KNOWN MUTATION - FACILITY,480
300000025,ARPKD MUTATION SCREEN - FACILITY,3349
300000026,ARSA FULL GENE ANALYSIS - FACILITY,1120
300000027,ARSA GENE KNOWN MUTATION - FACILITY,548
300000029,ASPA GENE ANALYSIS COMMON VARIANTS - FACILITY,707
300000031,ATN1 DRPLA GENE ANALYSIS - FACILITY,369
300000032,ATP7B FULL GENE ANALYSIS - FACILITY,1640
300000033,ATP7B KNOWN MUTATION - FACILITY,652
300000036,BCR/ABL1 MAJOR BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,714
300000037,BCR/ABL1 MINOR BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,533
300000038,BCR/ABL1 OTHER BREAKPNT QUALITATIVE/QUANTITATIVE - FACILITY,487
300000042,BLM GENE ANALYSIS 2281DEL6INS7 VARIANT - FACILITY,903
300000047,BRAF GENE ANALYSIS V600 VARIANT(S) - FACILITY,468
300000048,BRAF GENE ANALYSIS V600 VARIANT(S) - FACILITY,532
300000049,BTD FULL GENE ANALYSIS - FACILITY,1322
300000050,BTD GENE KNOWN MUTATION - FACILITY,633
300000055,C9ORF72 MOLECULAR ANALYSIS - FACILITY,491
300000056,CALR GENE ANALYSIS COMMON VARIANTS IN EXON 9 - FACILITY,591
300000058,CASR KNOWN MUTATION - FACILITY,576
300000059,CASR MUTATION SCREEN - FACILITY,2008
300000060,CATHETERIZE FOR URINE SPEC - FACILITY,230
300000061,CDH1 FULL GENE ANALYSIS - FACILITY,1200
300000062,CDH1 GENE KNOWN MUTATION - FACILITY,600
300000063,CDKN1C FULL GENE ANALYSIS - FACILITY,984
300000064,CDKN1C KNOWN MUTATION - FACILITY,494
300000065,CEBPA GENE ANALYSIS FULL GENE SEQUENCE - FACILITY,579
300000066,"CELL COUNT,MISC BODY FLUIDS - FACILITY",66
300000069,CELL COUNT W DIFF BODY FLUID - FACILITY,70
300000071,CFTR GENE ANALYSIS COMMON VARIANTS - FACILITY,798
300000072,CFTR GENE ANALYSIS DUPLICATION/DELETION VARIANTS - FACILITY,893.82
300000073,CFTR GENE ANALYSIS FULL GENE SEQUENCE - FACILITY,893.82
300000074,CFTR GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,1155
300000075,CHEK2 GENE FULL ANALYSIS - FACILITY,1615
300000076,CHEK2 KNOWN MUTATION - FACILITY,757
300000077,CHIMERISM W/COMP TO BASELINE W/O CELL SELECTION - FACILITY,648
300000078,CHIMERISM W/COMP TO BASELINE W/CELL SELECTION EA - FACILITY,719
300000080,COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE - FACILITY,149
300000081,COLLECT BLOOD PICC VENOUS NOS - FACILITY,160
300000083,COMPARATIVE ANAL STR MARKERS PATIENT&COMP SPEC - FACILITY,1085
300000084,COMPARATIVE ANAL STR MARKERS PATIENT&COMP SPEC - FACILITY,909
300000086,CPT2 FULL GENE ANALYSIS - FACILITY,1502
300000087,CPT2 GENE KNOWN MUTATION - FACILITY,633
300000091,"EXAM,SYNOVIAL FLUID CRYSTALS - FACILITY",73
300000093,CTRC FULL GENE ANALYSIS - FACILITY,284
300000098,CYP2C19 GENE ANALYSIS COMMON VARIANTS - FACILITY,786
300000099,CYP2C9 GENE ANALYSIS COMMON VARIANTS - FACILITY,267
300000100,CYP2C9 GENE ANALYSIS COMMON VARIANTS - FACILITY,340
300000103,CYP2D6 GENE ANALYSIS COMMON VARIANTS - FACILITY,681
300000105,CYP3A4 GENOTYPE - FACILITY,202
300000108,DAZ/SRY DELETION - FACILITY,418
300000109,DMD DUPLICATION/DELETION ANALYSIS - FACILITY,207
300000114,EGFR GENE ANALYSIS COMMON VARIANTS - FACILITY,1127
300000116,EWSR1/ATF1 GENE - FACILITY,576
300000117,EXOME COMPARATOR - FACILITY,1353
300000118,EXOME - FACILITY,7045
300000120,F2 GENE ANALYSIS 20210G >A VARIANT - FACILITY,320
300000121,F5 COAGULATION FACTOR V ANAL LEIDEN VARIANT - FACILITY,334
300000122,F8 INVERSION ANALYSIS 2 - FACILITY,152
300000126,FANCC GENE ANALYSIS COMMON VARIANT - FACILITY,208
300000127,FBN1 FULL GENE SEQUENCE - FACILITY,1359
300000130,FECH FULL GENE ANALYSIS - FACILITY,778
300000132,FETAL CHRMOML ANEUPLOIDY - FACILITY,1350
300000135,FGA KNOWN MUTATION - FACILITY,470
300000136,FETAL CONGENITAL ABNOR ASSAY TWO PROTEINS - FACILITY,171
300000138,FLG GENE MUTATION ANALYSIS - FACILITY,450
300000139,FLT3 GENE ANLYS TYROSINE KINASE DOMAIN VARIANTS - FACILITY,250
300000140,FLT3 GENE ANALYSIS INTERNAL TANDEM DUP VARIANTS - FACILITY,360
300000143,FOXL2 MUT (C402G) ANALYSIS - FACILITY,310
300000144,FTCD FULL GENE ANALYSIS - FACILITY,1478
300000145,GAA FULL GENE SEQUENCE - FACILITY,1481
300000146,GAA KNOWN MUTATION - FACILITY,567
300000147,GALC FULL GENE ANALYSIS - FACILITY,1644
300000148,GALC KNOWN MUTATION - FACILITY,153
300000149,GALT FULL GENE ANALYSIS - FACILITY,937
300000150,GALT GENE ANALYSIS - FACILITY,596
300000151,GAUCHER DISEASE FULL GENE ANA - FACILITY,1444
300000153,GBA GLUCOSIDASE/BETA/ACID ANAL COMM VARIANTS - FACILITY,320
300000158,GLA FULL GENE ANALYSIS - FACILITY,836
300000159,GLA KNOWN MUTATION - FACILITY,639
300000161,GNPTAB FULL GENE ANALYSIS - FACILITY,1600
300000162,GRHPR GENE FULL GENE ANALYSIS - FACILITY,898
300000163,GRHPR GENE KNOWN MUTATION - FACILITY,391
300000164,GRN FULL GENE ANALYSIS - FACILITY,1028
300000165,GRN KNOWN MUTATION - FACILITY,469
300000166,GSN FULL GENE ANALYSIS - FACILITY,1721
300000167,GSN KNOWN MUTATION - FACILITY,514
300000171,HEREDIATRY ERYTHROCYTOSIS MUT - FACILITY,1505
300000173,HEXA FULL GENE ANALYSIS - FACILITY,1759
300000174,HEXA GENE KNOWN MUTATION - FACILITY,719
300000176,HFE HEMOCHROMATOSIS GENE ANAL COMMON VARIANTS - FACILITY,390
300000177,HLA CLASS I TYPING HIGH RESOLUTION COMPLETE - FACILITY,1094
300000178,HLA CLASS I TYPING LOW RESOLUTION COMPLETE - FACILITY,712
300000179,HLA II LOW RESOLUTION HLA-DRB1/3/4/5 AND -DQB1 - FACILITY,607
300000180,HLA CLASS II TYPING HIGH RESOLUTION ONE LOCUS EA - FACILITY,432
300000181,HLA I&LI LOW RESOLUTION HLA-A -B&-DRB1 - FACILITY,786
300000183,HLA CLASS II TYPING HIGH RESOLUTION ONE LOCUS EA - FACILITY,337
300000184,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,368
300000185,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,368
300000186,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,336
300000187,HLA I LOW RESOLUTION ONE ANTIGEN EQUIVALENT EACH - FACILITY,239
300000188,HLA CLASS I&II LOW HLA-A -B -C -DRB1/3/4/5&-DQB1 - FACILITY,1326
300000189,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,368
300000190,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,364
300000192,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,364
300000193,HLA CLASS I TYPING LOW RESOLUTION ONE LOCUS EACH - FACILITY,293
300000195,HMBS KNOWN MUTATION - FACILITY,510
300000196,HOXB13 MUTATION ANALYSIS G84E - FACILITY,650
300000202,IDH2 COMMON EXON 4 VARIANTS - FACILITY,329
300000203,IDUA FULL GENE ANALYSIS - FACILITY,1155
300000204,IDUA KNOWN MUTATION - FACILITY,525
300000206,IGH@ REARRANGE ABNORMAL CLONAL POP AMPLIFIED - FACILITY,655
300000207,IGH@ VARIABLE REGION SOMATIC MUTATION ANALYSIS - FACILITY,991
300000208,IGK@ GENE REARRANGE DETECT ABNORMAL CLONAL POP - FACILITY,504
300000209,IKBKAP GENE ANALYSIS COMMON VARIANTS - FACILITY,543
300000216,JAK2 GENE ANALYSIS P.VAL617PHE VARIANT - FACILITY,422
300000220,KIT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS - FACILITY,645
300000222,KRAS GENE ANALYSIS VARIANTS IN EXON 2 - FACILITY,654
300000223,KRAS GENE ANALYSIS VARIANTS IN EXON 2 - FACILITY,654
300000228,LYZ FULL GENE ANALYSIS - FACILITY,928
300000229,MAPT KNOWN MUTATION - FACILITY,515
300000230,MAPT SCREENING SEQUENCE ANLYS - FACILITY,1186
300000232,MCAD KNOWN MUTATION - FACILITY,773
300000233,MCAD MUTATION SCREEN - FACILITY,1592
300000234,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1618
300000235,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1618
300000237,MECP2 GENE ANALYSIS KNOWN FAMILIAL VARIANT - FACILITY,128
300000239,MEFV GENE FULL ANALYSIS - FACILITY,541
300000240,MELANOMA PANEL TUMOR - FACILITY,1215
300000243,MESENCHYMAL CHONDROSARCOMA RT-PCR - FACILITY,310
300000244,MGMT METHYLATION ANALYSIS - FACILITY,500
300000245,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1618
300000247,CYTOGENOM CONST MICROARRAY COPY NUMBER&SNP VAR - FACILITY,1618
300000248,MICROSATELLITE INSTAB ANAL MISMATCH REPAIR DEF - FACILITY,703
300000250,MLH1 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,1449
300000254,MMACHC FULL GENE ANALYSIS - FACILITY,854
300000255,MMACHC GENE KNOWN MUTATION - FACILITY,731
300000260,MOPATH PROCEDURE LEVEL 5 - FACILITY,50
300000265,MPL EXON 10 MUT DETECTION - FACILITY,538
300000266,MPS IIIA FULL GENE ANALYSIS - FACILITY,325
300000267,MPSVL FULL GENE ANALYSIS - FACILITY,1362
300000269,MSH2 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,454
300000270,MSH2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,388
300000271,MSH6 GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,861
300000273,MTHFR GENE ANALYSIS COMMON VARIANTS - FACILITY,875
300000274,MTHFR GENE ANALYSIS COMMON VARIANTS - FACILITY,459
300000276,MYD88 L265P GENE MUTATN ANALYS - FACILITY,350
300000282,NPM1 NUCLEOPHOSMIN GENE ANAL EXON 12 VARIANTS - FACILITY,592
300000288,PDGFRA GENE ANALYS TARGETED SEQUENCE ANALYS - FACILITY,563
300000289,PML/RARALPHA COMMON BREAKPOINTS QUAL/QUANT - FACILITY,700
300000290,PMP22 GENE ANAL DUPLICATION/DELETION ANALYSIS - FACILITY,475
300000292,PMS2 GENE ANALYSIS DUPLICATION/DELETION VARIANTS - FACILITY,386
300000294,PMS2 GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,373
300000299,"PSA, TOTAL SCREENING - FACILITY",139
300000301,PRSS1 FULL GENE ANALYSIS - FACILITY,539
300000302,PRSS1 GENE KNOWN MUTATION - FACILITY,633
300000304,PTEN GENE ANALYSIS FULL SEQUENCE ANALYSIS - FACILITY,427.27
300000313,RET FULL GENE ANALYSIS - FACILITY,692
300000314,SDH DELETION DETECTION - FACILITY,300
300000315,SDH KNOWN MUTATION - FACILITY,573
300000316,SDH SUBUNIT B GENE ANALYSIS - FACILITY,708
300000317,SDH SUBUNIT D GENE ANALYSIS - FACILITY,150
300000320,SEPT9 KNOWN MUTATION - FACILITY,436
300000324,SLC25A20 FULL GENE ANALYSIS - FACILITY,1111
300000325,SLC25A20 GENE KNOWN MUTATION - FACILITY,550
300000326,SLCO1B1 GENOTYPE STATIN - FACILITY,214
300000327,SMAD4 FULL GENE ANALYSIS - FACILITY,788
300000328,SMPD1 FULL GENE ANALYSIS - FACILITY,1203
300000330,SNRPN/UBE3A METHYLATION ANALYSIS - FACILITY,515
300000331,SOLID TUMOR TARGETED CANCER PANEL - FACILITY,2300
300000332,HANDLG&/OR CONVEY OF SPEC FOR TR FROM PT TO LAB - FACILITY,43
300000335,SPINK1 FULL GENE ANALYSIS - FACILITY,286
300000337,COMPARATIVE ANAL STR MARKERS EA ADDL SPECIMEN - FACILITY,568
300000339,SUMF1 FULL GENE ANALYSIS - FACILITY,307
300000340,SUMF1 KNOWN MUTATION - FACILITY,167
300000351,TNFRSF1A FULL GENE ANLYS - FACILITY,696
300000352,TP53 FULL GENE ANALYSIS - FACILITY,984
300000353,TP53 MUT EXONS 4-9 - FACILITY,1031
300000354,TPMT GENOTPYE - FACILITY,535
300000355,TRB@ REARRANGEMENT ANAL AMPLIFICATION METHOD - FACILITY,451
300000357,TRG@ GENE REARRANGEMENT ANALYSIS - FACILITY,848
300000359,TTR FULL GENE ANALYSIS - FACILITY,768
300000361,UBE3A FULL GENE ANALYSIS - FACILITY,799
300000362,UBE3A GENE KNOWN MUTATION - FACILITY,500
300000365,UGT1A1 GENE ANALYSIS COMMON VARIANTS - FACILITY,888
300000368,UPD UNIPARENTAL DISOMY - FACILITY,522
300000370,"COLLECTION VENOUS BLOOD,VENIPUNCTURE - FACILITY",24
300000371,VHL GENE FULL GENE ANALYSIS - FACILITY,928
300000372,VHL KNOWN MUTATION - FACILITY,466
300000373,VWF GENE 2N NORMANDY - FACILITY,397
300000381,VKORC1 GENE ANALYSIS COMMON VARIANT(S) - FACILITY,291
300000388,BRAF GENE ANALYSIS V600 VARIANT(S) - FACILITY,341
300000393,CYP2D6 GENE ANALYSIS COMMON VARIANTS - FACILITY,943
300000394,MOLECULAR PATHOLOGY PROCEDURE LEVEL 1 - FACILITY,284
300000397,MTHFR GENE ANALYSIS COMMON VARIANTS - FACILITY,609
300000399,HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP - FACILITY,364
300000400,APOB GENOTYPE (ADHP) - FACILITY,278
300000401,GALT KNOWN MUTATION - FACILITY,654
300000402,IDS KNOWN MUTATION - FACILITY,633
300000405,SMAD4 KNOWN MUTATION - FACILITY,550
300000406,SOS1 KNOWN MUT - FACILITY,470
300000407,STK11 KNOWN MUTATION - FACILITY,550
300000408,X-ALD KNOWN MUTATION - FACILITY,621
300000409,SDH SUBUNIT C GENE ANALYSIS - FACILITY,150
300000410,IDS FULL GENE ANALYSIS - FACILITY,1745
300000412,STK11 FULL GENE ANALYSIS - FACILITY,735
300000414,X-ALD FULL GENE ANALYSIS - FACILITY,1631
300000416,NGS ACUTE MYELOID LEUKEMIA - FACILITY,1950
300000417,ONCOHEME NGS FOR HEMATOLOGIC CANCER - FACILITY,2392
300000418,2D6 SEQUENCING +1 - FACILITY,746
300000419,2D6 SEQUENCING +2 - FACILITY,1393
300000420,2D6 SEQUENCING +3 - FACILITY,1899
300000421,2D6 SEQUENCING +4 - FACILITY,2404
300000422,2D6 SEQUENCING +5 - FACILITY,2909
300000423,2D6 SEQUENCING +6 - FACILITY,3415
300000424,APAOA1 KNOWN MUTATION - FACILITY,524
300000425,APOA2 FULL GENE ANALYSIS - FACILITY,1096
300000426,APOA2 KNOWN MUTATION - FACILITY,514
300000427,AXIN2 FULL GENE ANALYSIS - FACILITY,550
300000428,AXIN2 KNOWN MUTATION - FACILITY,840
300000429,BMPR1A FULL GENE ANALYSIS - FACILITY,995
300000430,BMPR1A KNOWN MUTATION - FACILITY,633
300000432,CPOX KNOWN MUTATION - FACILITY,631
300000434,FECH KNOWN MUTATION - FACILITY,205
300000435,FTCD KNOWN MUTATION - FACILITY,550
300000436,GNPTAB KNOWN MUTATION - FACILITY,650
300000437,LYZ KNOWN MUTATION - FACILITY,514
300000438,MLH3K KNOWN MUTATION - FACILITY,550
300000439,MLH3S FULL GENE ANALYSIS - FACILITY,1050
300000440,MLYCD FULL GENE ANALYSIS - FACILITY,1731
300000441,MLYCD KNOWN MUTATION - FACILITY,831
300000442,MMADHC FULL GENE ANALYSIS - FACILITY,1120
300000443,MMADHC KNOWN MUTATION - FACILITY,548
300000444,MPS IIIA KNOWN MUTATION - FACILITY,167
300000445,MPS IIIB FULL GENE ANALYSIS - FACILITY,1612
300000446,MPS IIIB KNOWN MUTATION - FACILITY,591
300000447,MPSVI KNOWN MUTATION - FACILITY,470
300000449,PPOX KNOWN MUTATION - FACILITY,550
300000452,OXYSTEROLS QUANT - FACILITY,117
300000459,LYSOSOMAL ACID LIPASE - FACILITY,162
300000464,"CHROMOSOME ANAL:BREAKGE,50-100 CELLS - FACILITY",1345
300000469,BLM GENE ANALYSIS 2281DEL6INS7 VARIANT - FACILITY,118
300000470,CYP2D6 GENE ANALYSIS COMMON VARIANTS - FACILITY,1350
300000471,FANCC GENE ANALYSIS COMMON VARIANT - FACILITY,118
300000472,GBA GLUCOSIDASE/BETA/ACID ANAL COMM VARIANTS - FACILITY,118
300000473,HEXA GENE ANALYSIS COMMON VARIANTS - FACILITY,118
300000474,IKBKAP GENE ANALYSIS COMMON VARIANTS - FACILITY,118
300000475,MLH1 GENE ANALYSIS PROMOTER METHYLATION ANALYSIS - FACILITY,634
300000476,MCOLN1 MUCOLIPIN1 GENE ANALYSIS COMMON VARIANTS - FACILITY,928
300000477,SMPD1 GENE ANALYSIS COMMON VARIANTS - FACILITY,118
300000479,EWSR1/FLI1 ANALYSIS - FACILITY,475
300000480,FOXO1/PAX3 ANALYSIS - FACILITY,618.47
300000481,SS18/SSX1 GENE ANALYSIS - FACILITY,281
300000482,EWSR1/ERG ANALYSIS - FACILITY,475
300000483,FOXO1/PAX7 ANALYSIS - FACILITY,458.28
300000484,KCNQ1OT1 METHYLATION ANALYSIS - FACILITY,296
300000485,SS18/SSX2 GENE ANALYSIS - FACILITY,281
300000486,CYP21A2 COMMON VARIANTS - FACILITY,341
300000487,81403 GENES 2 - FACILITY,25
300000488,NPC 2 FULL SEQUENCE - FACILITY,1225
300000489,SDH SUBUNIT B FULL GENE ANALYSIS - FACILITY,708
300000491,CYP21A2 FULL GENE ANALYSIS - FACILITY,619
300000492,SDH SUBUNIT C FULL GENE - FACILITY,150
300000494,81405 GENES 2 - FACILITY,800
300000495,81405 GENES 3 - FACILITY,75
300000496,NPC1 FULL SEQUENCE - FACILITY,1402
300000498,81406 GENES - FACILITY,850
300000499,81407 GENES 2 - FACILITY,125
300000500,81408 GENES 2 - FACILITY,150
300000501,81408 GENES - FACILITY,950
300000502,81406 GENES 2 - FACILITY,100
300000503,81407 GENES - FACILITY,900
300000507,CHROMOSOME ANALY:PLACENTA - FACILITY,1990
300000511,UNLISTED PROC MOPATH 1 - FACILITY,400
300000512,UNLISTED PROC MOPATH 2 - FACILITY,300
300000513,UNLISTED PROC MOPATH 3 - FACILITY,200
300000514,UNLISTED PROC MOPATH 4 - FACILITY,50
300000515,MONONUCLEAR CELL ANTIGEN - FACILITY,230
300000516,81403 GENES - FACILITY,50
300000517,81404 GENES INIT - FACILITY,750
300000518,HLA CLASS I TYPING HIGH RESOLUTION ONE LOCUS EA - FACILITY,540
300000524,CSF3R 14/17 MUTATION - FACILITY,228
300000527,VHL DELETION DETECTION - FACILITY,644
300000529,81404 GENES 3 - FACILITY,50
300000574,HANDLG&/OR CONVEY OF SPEC FOR TR FROM PT TO LAB - FACILITY,43
300000578,AGXT MUTATION ANALYSIS (G170R) - FACILITY,464
300000580,KIT GENE ANALYSIS D816 VARIANT(S) - FACILITY,702
300000582,CYTOGENOM CONST MICROARRAY COPY NUMBER VARIANTS - FACILITY,1010.34
300000584,SEPT9 MUTATION SCREEN - FACILITY,929
300000586,ONCOLOGY COLORECTAL SCREENING QUAN 10 DNA MARKRS - FACILITY,746
300000588,NEXT GEN AML 8 - FACILITY,1366
300000590,HLA CLASS II TYPING LOW RESOLUTION ONE LOCUS EA - FACILITY,368
300000612,HEXA GENE ANALYSIS COMMON VARIANTS - FACILITY,772
300000614,MLH1 GENE ANALYSIS KNOWN FAMILIAL VARIANTS - FACILITY,517
300000615,MSH6 GENE KNOWN VARIANTS - FACILITY,440
300000617,RBC DNA HEA 35 AG 11 BLD GRP WHL BLD CMN ALLEL - FACILITY,418
300000619,CARDIOMYOPATHY GENETIC PANEL - FACILITY,3250
300000620,CYP2C19 GENE ANALYSIS COMMON VARIANTS - FACILITY,30.34
300000621,CYP2D6 GENE ANALYSIS COMMON VARIANTS - FACILITY,46.95
300000622,CYP2C9 GENE ANALYSIS COMMON VARIANTS - FACILITY,18.2
